transaction_id,gateway_fee,tax_on_fee
TXN000998,14.49,2.61
TXN000999,337.0,60.66
TXN001000,470.38,84.67
TXN001001,8.93,1.61
TXN001002,167.03,30.07
TXN001003,173.32,31.2
TXN001004,228.29,41.09
TXN001005,210.61,37.91
TXN001006,46.43,8.36
TXN001007,61.57,11.08
TXN001008,50.47,9.08
TXN001009,110.26,19.85
TXN001010,297.44,53.54
TXN001011,204.37,36.79
TXN001012,344.46,62.0
TXN001013,38.72,6.97
TXN001014,12.96,2.33
TXN001015,54.13,9.74
TXN001016,291.83,52.53
TXN001017,317.91,57.22
TXN001018,190.4,34.27
TXN001019,66.35,11.94
TXN001020,107.25,19.3
TXN001021,188.3,33.89
TXN001022,550.79,99.14
TXN001023,203.76,36.68
TXN001024,117.83,21.21
TXN001025,205.38,36.97
TXN001026,99.62,17.93
TXN001027,241.84,43.53
TXN001028,295.64,53.22
TXN001029,117.84,21.21
TXN001030,184.57,33.22
TXN001031,207.23,37.3
TXN001032,82.98,14.94
TXN001033,281.09,50.6
TXN001034,313.23,56.38
TXN001035,60.86,10.95
TXN001036,232.09,41.78
TXN001037,103.6,18.65
TXN001038,245.88,44.26
TXN001039,263.04,47.35
TXN001040,244.48,44.01
TXN001041,76.45,13.76
TXN001042,81.8,14.72
TXN001043,31.53,5.68
TXN001044,271.55,48.88
TXN001045,404.55,72.82
TXN001046,169.07,30.43
TXN001047,192.03,34.57
TXN001048,43.44,7.82
TXN001049,417.8,75.2
TXN001050,22.17,3.99
TXN001051,87.39,15.73
TXN001052,204.78,36.86
TXN001053,271.83,48.93
TXN001054,33.44,6.02
TXN001055,354.25,63.77
TXN001056,299.95,53.99
TXN001057,281.62,50.69
TXN001058,421.38,75.85
TXN001059,159.34,28.68
TXN001060,68.87,12.4
TXN001061,364.14,65.55
TXN001062,114.92,20.69
TXN001063,398.92,71.81
TXN001064,254.97,45.89
TXN001065,77.93,14.03
TXN001066,313.54,56.44
TXN001067,226.54,40.78
TXN001068,83.71,15.07
TXN001069,167.31,30.12
TXN001070,272.52,49.05
TXN001071,81.35,14.64
TXN001072,344.51,62.01
TXN001073,34.19,6.15
TXN001074,61.32,11.04
TXN001075,267.74,48.19
TXN001076,297.25,53.5
TXN001077,123.17,22.17
TXN001078,248.86,44.79
TXN001079,221.01,39.78
TXN001080,195.11,35.12
TXN001081,551.56,99.28
TXN001082,3.4,0.61
TXN001083,198.05,35.65
TXN001084,402.28,72.41
TXN001085,400.63,72.11
TXN001086,564.49,101.61
TXN001087,79.16,14.25
TXN001088,212.56,38.26
TXN001089,411.3,74.03
TXN001090,346.28,62.33
TXN001091,15.71,2.83
TXN001092,9.29,1.67
TXN001093,126.2,22.72
TXN001094,513.79,92.48
TXN001095,99.55,17.92
TXN001096,405.37,72.97
TXN001097,127.09,22.88
TXN001098,16.26,2.93
TXN001099,312.24,56.2
TXN001100,259.85,46.77
TXN001101,2.38,0.43
TXN001102,83.02,14.94
TXN001103,223.91,40.3
TXN001104,368.88,66.4
TXN001105,232.59,41.87
TXN001106,88.7,15.97
TXN001107,37.4,6.73
TXN001108,71.01,12.78
TXN001109,227.58,40.96
TXN001110,19.75,3.55
TXN001111,232.18,41.79
TXN001112,152.95,27.53
TXN001113,335.31,60.36
TXN001114,203.61,36.65
TXN001115,463.02,83.34
TXN001116,298.19,53.67
TXN001117,433.36,78.0
TXN001118,90.19,16.23
TXN001119,121.28,21.83
TXN001120,397.24,71.5
TXN001121,512.93,92.33
TXN001122,115.43,20.78
TXN001123,115.68,20.82
TXN001124,177.83,32.01
TXN001125,290.42,52.28
TXN001126,211.52,38.07
TXN001127,148.48,26.73
TXN001128,548.12,98.66
TXN001129,308.49,55.53
TXN001130,223.98,40.32
TXN001131,222.24,40.0
TXN001132,7.29,1.31
TXN001133,135.59,24.41
TXN001134,413.83,74.49
TXN001135,167.28,30.11
TXN001136,341.98,61.56
TXN001137,41.78,7.52
TXN001138,222.29,40.01
TXN001139,191.85,34.53
TXN001140,441.45,79.46
TXN001141,98.67,17.76
TXN001142,290.39,52.27
TXN001143,268.43,48.32
TXN001144,359.49,64.71
TXN001145,88.93,16.01
TXN001146,124.64,22.44
TXN001147,180.03,32.41
TXN001148,250.04,45.01
TXN001149,429.19,77.25
TXN001150,82.21,14.8
TXN001151,209.94,37.79
TXN001152,64.46,11.6
TXN001153,361.33,65.04
TXN001154,125.74,22.63
TXN001155,248.43,44.72
TXN001156,321.63,57.89
TXN001157,290.06,52.21
TXN001158,358.56,64.54
TXN001159,58.49,10.53
TXN001160,267.94,48.23
TXN001161,126.4,22.75
TXN001162,15.05,2.71
TXN001163,17.3,3.11
TXN001164,397.3,71.51
TXN001165,340.57,61.3
TXN001166,227.15,40.89
TXN001167,112.08,20.17
TXN001168,104.85,18.87
TXN001169,158.0,28.44
TXN001170,281.88,50.74
TXN001171,480.29,86.45
TXN001172,37.56,6.76
TXN001173,276.45,49.76
TXN001174,55.37,9.97
TXN001175,209.77,37.76
TXN001176,400.4,72.07
TXN001177,122.78,22.1
TXN001178,298.94,53.81
TXN001179,248.83,44.79
TXN001180,40.87,7.36
TXN001181,87.05,15.67
TXN001182,249.9,44.98
TXN001183,1.9,0.34
TXN001184,271.18,48.81
TXN001185,49.57,8.92
TXN001186,111.03,19.99
TXN001187,262.92,47.33
TXN001188,349.23,62.86
TXN001189,273.69,49.26
TXN001190,440.98,79.38
TXN001191,30.85,5.55
TXN001192,297.98,53.64
TXN001193,338.97,61.01
TXN001194,387.39,69.73
TXN001195,115.42,20.78
TXN001196,213.75,38.48
TXN001197,135.3,24.35
TXN001198,29.01,5.22
TXN001199,196.46,35.36
TXN001200,83.67,15.06
TXN001201,288.34,51.9
TXN001202,201.25,36.23
TXN001203,233.66,42.06
TXN001204,364.87,65.68
TXN001205,289.95,52.19
TXN001206,26.68,4.8
TXN001207,58.59,10.55
TXN001208,185.44,33.38
TXN001209,92.05,16.57
TXN001210,439.92,79.19
TXN001211,442.02,79.56
TXN001212,193.01,34.74
TXN001213,63.54,11.44
TXN001214,70.37,12.67
TXN001215,403.97,72.71
TXN001216,176.53,31.78
TXN001217,11.74,2.11
TXN001218,330.03,59.41
TXN001219,38.3,6.89
TXN001220,71.25,12.82
TXN001221,71.48,12.87
TXN001222,234.12,42.14
TXN001223,9.03,1.63
TXN001224,86.38,15.55
TXN001225,130.27,23.45
TXN001226,12.84,2.31
TXN001227,149.5,26.91
TXN001228,146.77,26.42
TXN001229,16.73,3.01
TXN001230,63.58,11.44
TXN001231,369.13,66.44
TXN001232,317.28,57.11
TXN001233,224.99,40.5
TXN001234,212.9,38.32
TXN001235,111.94,20.15
TXN001236,119.72,21.55
TXN001237,14.29,2.57
TXN001238,20.04,3.61
TXN001239,36.83,6.63
TXN001240,138.74,24.97
TXN001241,297.56,53.56
TXN001242,375.31,67.56
TXN001243,317.5,57.15
TXN001244,298.2,53.68
TXN001245,302.2,54.4
TXN001246,136.43,24.56
TXN001247,147.73,26.59
TXN001248,528.35,95.1
TXN001249,268.08,48.25
TXN001250,295.39,53.17
TXN001251,226.6,40.79
TXN001252,26.02,4.68
TXN001253,332.62,59.87
TXN001254,171.98,30.96
TXN001255,113.0,20.34
TXN001256,440.81,79.35
TXN001257,25.89,4.66
TXN001258,413.76,74.48
TXN001259,256.11,46.1
TXN001260,176.84,31.83
TXN001261,165.89,29.86
TXN001262,106.68,19.2
TXN001263,339.25,61.06
TXN001264,184.11,33.14
TXN001265,430.76,77.54
TXN001266,62.2,11.2
TXN001267,232.34,41.82
TXN001268,69.81,12.57
TXN001269,268.72,48.37
TXN001270,343.56,61.84
TXN001271,21.49,3.87
TXN001272,373.56,67.24
TXN001273,293.89,52.9
TXN001274,74.4,13.39
TXN001275,128.53,23.14
TXN001276,192.15,34.59
TXN001277,204.82,36.87
TXN001278,6.04,1.09
TXN001279,317.83,57.21
TXN001280,209.45,37.7
TXN001281,29.09,5.24
TXN001282,545.64,98.22
TXN001283,321.11,57.8
TXN001284,173.71,31.27
TXN001285,276.47,49.76
TXN001286,43.17,7.77
TXN001287,74.71,13.45
TXN001288,331.73,59.71
TXN001289,105.53,19.0
TXN001290,412.59,74.27
TXN001291,145.5,26.19
TXN001292,349.44,62.9
TXN001293,98.44,17.72
TXN001294,23.31,4.2
TXN001295,423.38,76.21
TXN001296,367.32,66.12
TXN001297,91.67,16.5
TXN001298,70.92,12.77
TXN001299,202.99,36.54
TXN001300,36.31,6.54
TXN001301,25.1,4.52
TXN001302,318.71,57.37
TXN001303,13.87,2.5
TXN001304,136.15,24.51
TXN001305,486.06,87.49
TXN001306,229.67,41.34
TXN001307,40.61,7.31
TXN001308,96.02,17.28
TXN001309,55.97,10.07
TXN001310,195.44,35.18
TXN001311,390.15,70.23
TXN001312,87.61,15.77
TXN001313,31.21,5.62
TXN001314,219.99,39.6
TXN001315,85.3,15.35
TXN001316,474.58,85.42
TXN001317,207.05,37.27
TXN001318,274.55,49.42
TXN001319,29.11,5.24
TXN001320,205.33,36.96
TXN001321,401.89,72.34
TXN001322,47.48,8.55
TXN001323,63.2,11.38
TXN001324,363.02,65.34
TXN001325,255.89,46.06
TXN001326,90.8,16.34
TXN001327,448.62,80.75
TXN001328,290.4,52.27
TXN001329,25.88,4.66
TXN001330,294.78,53.06
TXN001331,208.94,37.61
TXN001332,340.08,61.21
TXN001333,65.01,11.7
TXN001334,288.06,51.85
TXN001335,335.77,60.44
TXN001336,398.84,71.79
TXN001337,446.33,80.34
TXN001338,187.62,33.77
TXN001339,222.14,39.99
TXN001340,226.49,40.77
TXN001341,173.82,31.29
TXN001342,176.93,31.85
TXN001343,20.7,3.73
TXN001344,387.55,69.76
TXN001345,308.93,55.61
TXN001346,167.54,30.16
TXN001347,280.51,50.49
TXN001348,93.4,16.81
TXN001349,257.99,46.44
TXN001350,234.04,42.13
TXN001351,54.49,9.81
TXN001352,438.65,78.96
TXN001353,427.21,76.9
TXN001354,231.25,41.62
TXN001355,141.1,25.4
TXN001356,63.53,11.44
TXN001357,17.52,3.15
TXN001358,245.21,44.14
TXN001359,193.85,34.89
TXN001360,77.15,13.89
TXN001361,222.47,40.04
TXN001362,20.54,3.7
TXN001363,256.03,46.09
TXN001364,215.9,38.86
TXN001365,64.4,11.59
TXN001366,160.2,28.84
TXN001367,97.03,17.47
TXN001368,406.64,73.2
TXN001369,364.17,65.55
TXN001370,155.8,28.04
TXN001371,6.64,1.2
TXN001372,46.03,8.29
TXN001373,126.02,22.68
TXN001374,238.0,42.84
TXN001375,158.98,28.62
TXN001376,139.91,25.18
TXN001377,102.14,18.39
TXN001378,118.67,21.36
TXN001379,153.44,27.62
TXN001380,157.4,28.33
TXN001381,145.36,26.16
TXN001382,263.2,47.38
TXN001383,179.22,32.26
TXN001384,355.38,63.97
TXN001385,102.32,18.42
TXN001386,239.37,43.09
TXN001387,118.06,21.25
TXN001388,78.48,14.13
TXN001389,221.0,39.78
TXN001390,246.98,44.46
TXN001391,217.35,39.12
TXN001392,281.68,50.7
TXN001393,188.97,34.01
TXN001394,453.76,81.68
TXN001395,271.43,48.86
TXN001396,476.55,85.78
TXN001397,60.23,10.84
TXN001398,237.51,42.75
TXN001399,556.86,100.23
TXN001400,29.68,5.34
TXN001401,284.55,51.22
TXN001402,224.09,40.34
TXN001403,149.47,26.9
TXN001404,513.8,92.48
TXN001405,525.18,94.53
TXN001406,359.33,64.68
TXN001407,276.05,49.69
TXN001408,379.97,68.39
TXN001409,157.57,28.36
TXN001410,47.97,8.63
TXN001411,190.9,34.36
TXN001412,42.11,7.58
TXN001413,364.02,65.52
TXN001414,161.44,29.06
TXN001415,210.74,37.93
TXN001416,88.96,16.01
TXN001417,205.58,37.0
TXN001418,462.31,83.22
TXN001419,59.99,10.8
TXN001420,265.53,47.8
TXN001421,110.72,19.93
TXN001422,66.92,12.05
TXN001423,391.85,70.53
TXN001424,99.89,17.98
TXN001425,243.37,43.81
TXN001426,327.24,58.9
TXN001427,54.94,9.89
TXN001428,359.59,64.73
TXN001429,262.06,47.17
TXN001430,175.48,31.59
TXN001431,206.39,37.15
TXN001432,114.09,20.54
TXN001433,251.87,45.34
TXN001434,6.74,1.21
TXN001435,132.73,23.89
TXN001436,150.14,27.03
TXN001437,207.53,37.36
TXN001438,113.67,20.46
TXN001439,413.77,74.48
TXN001440,306.28,55.13
TXN001441,51.25,9.22
TXN001442,183.27,32.99
TXN001443,142.78,25.7
TXN001444,139.8,25.16
TXN001445,248.17,44.67
TXN001446,144.4,25.99
TXN001447,243.63,43.85
TXN001448,374.08,67.33
TXN001449,346.24,62.32
TXN001450,329.51,59.31
TXN001451,42.2,7.6
TXN001452,115.21,20.74
TXN001453,266.96,48.05
TXN001454,194.55,35.02
TXN001455,24.45,4.4
TXN001456,295.35,53.16
TXN001457,119.89,21.58
TXN001458,29.39,5.29
TXN001459,418.65,75.36
TXN001460,338.98,61.02
TXN001461,261.99,47.16
TXN001462,190.12,34.22
TXN001463,231.79,41.72
TXN001464,246.54,44.38
TXN001465,243.74,43.87
TXN001466,296.01,53.28
TXN001467,6.43,1.16
TXN001468,186.89,33.64
TXN001469,534.27,96.17
TXN001470,542.05,97.57
TXN001471,223.72,40.27
TXN001472,248.24,44.68
TXN001473,315.3,56.75
TXN001474,378.82,68.19
TXN001475,72.47,13.04
TXN001476,290.6,52.31
TXN001477,236.08,42.49
TXN001478,419.16,75.45
TXN001479,65.41,11.77
TXN001480,317.22,57.1
TXN001481,227.16,40.89
TXN001482,312.92,56.33
TXN001483,36.63,6.59
TXN001484,8.02,1.44
TXN001485,307.45,55.34
TXN001486,97.29,17.51
TXN001487,248.1,44.66
TXN001488,39.71,7.15
TXN001489,208.94,37.61
TXN001490,227.94,41.03
TXN001491,480.16,86.43
TXN001492,4.53,0.82
TXN001493,292.22,52.6
TXN001494,34.29,6.17
TXN001495,118.46,21.32
TXN001496,152.91,27.52
TXN001497,109.52,19.71
TXN001498,124.46,22.4
TXN001499,124.1,22.34
TXN001500,160.77,28.94
TXN001501,13.33,2.4
TXN001502,15.62,2.81
TXN001503,417.19,75.09
TXN001504,296.0,53.28
TXN001505,430.35,77.46
TXN001506,187.69,33.78
TXN001507,101.97,18.35
TXN001508,449.38,80.89
TXN001509,413.25,74.38
TXN001510,392.83,70.71
TXN001511,38.29,6.89
TXN001512,112.04,20.17
TXN001513,360.34,64.86
TXN001514,191.29,34.43
TXN001515,18.79,3.38
TXN001516,82.36,14.82
TXN001517,50.29,9.05
TXN001518,115.85,20.85
TXN001519,120.25,21.64
TXN001520,295.35,53.16
TXN001521,29.84,5.37
TXN001522,232.56,41.86
TXN001523,169.1,30.44
TXN001524,54.01,9.72
TXN001525,224.8,40.46
TXN001526,245.42,44.18
TXN001527,424.19,76.35
TXN001528,396.87,71.44
TXN001529,38.96,7.01
TXN001530,312.85,56.31
TXN001531,383.0,68.94
TXN001532,275.27,49.55
TXN001533,143.34,25.8
TXN001534,196.94,35.45
TXN001535,120.8,21.74
TXN001536,151.8,27.32
TXN001537,428.5,77.13
TXN001538,321.47,57.86
TXN001539,290.67,52.32
TXN001540,394.83,71.07
TXN001541,556.28,100.13
TXN001542,239.51,43.11
TXN001543,282.31,50.82
TXN001544,245.64,44.22
TXN001545,579.01,104.22
TXN001546,325.18,58.53
TXN001547,335.63,60.41
TXN001548,323.53,58.24
TXN001549,55.06,9.91
TXN001550,52.92,9.53
TXN001551,262.54,47.26
TXN001552,84.49,15.21
TXN001553,78.9,14.2
TXN001554,190.84,34.35
TXN001555,160.64,28.92
TXN001556,505.6,91.01
TXN001557,212.81,38.31
TXN001558,224.96,40.49
TXN001559,263.39,47.41
TXN001560,149.77,26.96
TXN001561,368.74,66.37
TXN001562,370.83,66.75
TXN001563,298.07,53.65
TXN001564,449.57,80.92
TXN001565,174.84,31.47
TXN001566,437.34,78.72
TXN001567,81.55,14.68
TXN001568,28.48,5.13
TXN001569,46.27,8.33
TXN001570,72.58,13.06
TXN001571,61.16,11.01
TXN001572,140.91,25.36
TXN001573,25.12,4.52
TXN001574,25.3,4.55
TXN001575,496.16,89.31
TXN001576,276.75,49.81
TXN001577,39.14,7.05
TXN001578,248.09,44.66
TXN001579,44.56,8.02
TXN001580,163.82,29.49
TXN001581,37.88,6.82
TXN001582,308.88,55.6
TXN001583,163.95,29.51
TXN001584,153.07,27.55
TXN001585,6.42,1.16
TXN001586,168.4,30.31
TXN001587,402.99,72.54
TXN001588,367.1,66.08
TXN001589,345.73,62.23
TXN001590,124.74,22.45
TXN001591,11.05,1.99
TXN001592,213.47,38.42
TXN001593,213.32,38.4
TXN001594,111.13,20.0
TXN001595,517.06,93.07
TXN001596,302.39,54.43
TXN001597,96.47,17.36
TXN001598,309.64,55.74
TXN001599,55.91,10.06
TXN001600,404.07,72.73
TXN001601,11.08,1.99
TXN001602,13.97,2.51
TXN001603,95.82,17.25
TXN001604,21.1,3.8
TXN001605,232.3,41.81
TXN001606,116.16,20.91
TXN001607,147.49,26.55
TXN001608,2.72,0.49
TXN001609,36.87,6.64
TXN001610,21.13,3.8
TXN001611,305.1,54.92
TXN001612,431.97,77.75
TXN001613,44.57,8.02
TXN001614,139.43,25.1
TXN001615,262.59,47.27
TXN001616,57.66,10.38
TXN001617,134.75,24.25
TXN001618,97.79,17.6
TXN001619,150.58,27.1
TXN001620,423.95,76.31
TXN001621,19.15,3.45
TXN001622,212.64,38.28
TXN001623,97.69,17.58
TXN001624,55.22,9.94
TXN001625,74.95,13.49
TXN001626,354.67,63.84
TXN001627,55.1,9.92
TXN001628,281.32,50.64
TXN001629,283.05,50.95
TXN001630,155.06,27.91
TXN001631,43.29,7.79
TXN001632,294.25,52.96
TXN001633,59.24,10.66
TXN001634,49.79,8.96
TXN001635,484.86,87.27
TXN001636,186.86,33.63
TXN001637,142.6,25.67
TXN001638,275.15,49.53
TXN001639,427.49,76.95
TXN001640,122.15,21.99
TXN001641,217.86,39.21
TXN001642,85.67,15.42
TXN001643,345.19,62.13
TXN001644,168.61,30.35
TXN001645,202.1,36.38
TXN001646,239.05,43.03
TXN001647,482.34,86.82
TXN001648,54.74,9.85
TXN001649,26.16,4.71
TXN001650,344.04,61.93
TXN001651,454.6,81.83
TXN001652,379.11,68.24
TXN001653,191.56,34.48
TXN001654,225.47,40.58
TXN001655,148.15,26.67
TXN001656,214.84,38.67
TXN001657,150.31,27.06
TXN001658,136.56,24.58
TXN001659,372.0,66.96
TXN001660,290.66,52.32
TXN001661,66.14,11.91
TXN001662,234.93,42.29
TXN001663,429.89,77.38
TXN001664,247.89,44.62
TXN001665,236.17,42.51
TXN001666,80.5,14.49
TXN001667,232.39,41.83
TXN001668,215.32,38.76
TXN001669,21.74,3.91
TXN001670,33.75,6.08
TXN001671,473.03,85.15
TXN001672,354.82,63.87
TXN001673,163.87,29.5
TXN001674,151.73,27.31
TXN001675,145.71,26.23
TXN001676,114.9,20.68
TXN001677,377.38,67.93
TXN001678,289.8,52.16
TXN001679,99.29,17.87
TXN001680,259.66,46.74
TXN001681,73.46,13.22
TXN001682,356.73,64.21
TXN001683,66.26,11.93
TXN001684,435.48,78.39
TXN001685,250.83,45.15
TXN001686,49.83,8.97
TXN001687,72.03,12.97
TXN001688,312.09,56.18
TXN001689,308.68,55.56
TXN001690,26.61,4.79
TXN001691,290.85,52.35
TXN001692,587.56,105.76
TXN001693,526.81,94.83
TXN001694,283.13,50.96
TXN001695,262.59,47.27
TXN001696,59.0,10.62
TXN001697,43.24,7.78
TXN001698,345.16,62.13
TXN001699,63.88,11.5
TXN001700,432.84,77.91
TXN001701,28.75,5.17
TXN001702,72.0,12.96
TXN001703,177.57,31.96
TXN001704,337.98,60.84
TXN001705,54.96,9.89
TXN001706,13.54,2.44
TXN001707,310.12,55.82
TXN001708,200.89,36.16
TXN001709,186.89,33.64
TXN001710,306.49,55.17
TXN001711,161.79,29.12
TXN001712,168.41,30.31
TXN001713,478.8,86.18
TXN001714,217.78,39.2
TXN001715,41.43,7.46
TXN001716,242.5,43.65
TXN001717,174.9,31.48
TXN001718,151.19,27.21
TXN001719,348.6,62.75
TXN001720,4.31,0.78
TXN001721,357.17,64.29
TXN001722,203.57,36.64
TXN001723,168.4,30.31
TXN001724,524.07,94.33
TXN001725,175.69,31.62
TXN001726,226.14,40.71
TXN001727,276.03,49.69
TXN001728,109.72,19.75
TXN001729,247.29,44.51
TXN001730,189.38,34.09
TXN001731,250.44,45.08
TXN001732,342.42,61.64
TXN001733,38.02,6.84
TXN001734,479.58,86.32
TXN001735,237.65,42.78
TXN001736,91.01,16.38
TXN001737,238.14,42.87
TXN001738,532.64,95.88
TXN001739,38.77,6.98
TXN001740,33.13,5.96
TXN001741,550.36,99.06
TXN001742,261.29,47.03
TXN001743,37.77,6.8
TXN001744,221.93,39.95
TXN001745,58.16,10.47
TXN001746,161.33,29.04
TXN001747,173.38,31.21
TXN001748,202.84,36.51
TXN001749,211.53,38.08
TXN001750,579.06,104.23
TXN001751,379.94,68.39
TXN001752,230.51,41.49
TXN001753,279.34,50.28
TXN001754,369.97,66.59
TXN001755,191.05,34.39
TXN001756,201.62,36.29
TXN001757,339.65,61.14
TXN001758,560.49,100.89
TXN001759,112.67,20.28
TXN001760,44.55,8.02
TXN001761,167.98,30.24
TXN001762,496.64,89.4
TXN001763,146.51,26.37
TXN001764,314.99,56.7
TXN001765,424.08,76.33
TXN001766,349.58,62.92
TXN001767,212.92,38.33
TXN001768,147.1,26.48
TXN001769,322.69,58.08
TXN001770,230.22,41.44
TXN001771,283.09,50.96
TXN001772,105.52,18.99
TXN001773,175.67,31.62
TXN001774,149.95,26.99
TXN001775,155.33,27.96
TXN001776,132.28,23.81
TXN001777,508.66,91.56
TXN001778,222.21,40.0
TXN001779,349.52,62.91
TXN001780,100.01,18.0
TXN001781,131.84,23.73
TXN001782,34.65,6.24
TXN001783,295.57,53.2
TXN001784,4.7,0.85
TXN001785,520.73,93.73
TXN001786,178.64,32.16
TXN001787,264.25,47.56
TXN001788,160.72,28.93
TXN001789,66.81,12.03
TXN001790,262.9,47.32
TXN001791,186.54,33.58
TXN001792,197.25,35.5
TXN001793,242.99,43.74
TXN001794,5.49,0.99
TXN001795,295.89,53.26
TXN001796,344.05,61.93
TXN001797,302.61,54.47
TXN001798,153.64,27.66
TXN001799,149.39,26.89
TXN001800,68.0,12.24
TXN001801,212.72,38.29
TXN001802,273.7,49.27
TXN001803,569.62,102.53
TXN001804,272.34,49.02
TXN001805,487.38,87.73
TXN001806,510.85,91.95
TXN001807,394.54,71.02
TXN001808,230.41,41.47
TXN001809,250.09,45.02
TXN001810,319.3,57.47
TXN001811,255.0,45.9
TXN001812,289.26,52.07
TXN001813,125.57,22.6
TXN001814,25.54,4.6
TXN001815,344.95,62.09
TXN001816,259.15,46.65
TXN001817,102.84,18.51
TXN001818,134.53,24.22
TXN001819,214.06,38.53
TXN001820,59.44,10.7
TXN001821,337.93,60.83
TXN001822,147.79,26.6
TXN001823,291.28,52.43
TXN001824,373.96,67.31
TXN001825,145.44,26.18
TXN001826,255.81,46.05
TXN001827,219.52,39.51
TXN001828,130.88,23.56
TXN001829,94.78,17.06
TXN001830,173.64,31.26
TXN001831,217.28,39.11
TXN001832,386.62,69.59
TXN001833,223.79,40.28
TXN001834,237.78,42.8
TXN001835,61.06,10.99
TXN001836,158.69,28.56
TXN001837,76.11,13.7
TXN001838,49.98,9.0
TXN001839,23.44,4.22
TXN001840,212.04,38.17
TXN001841,80.88,14.56
TXN001842,235.46,42.38
TXN001843,80.93,14.57
TXN001844,214.51,38.61
TXN001845,312.03,56.17
TXN001846,15.16,2.73
TXN001847,438.1,78.86
TXN001848,394.44,71.0
TXN001849,35.18,6.33
TXN001850,54.09,9.74
TXN001851,234.8,42.26
TXN001852,222.94,40.13
TXN001853,271.88,48.94
TXN001854,280.23,50.44
TXN001855,229.01,41.22
TXN001856,138.23,24.88
TXN001857,1.42,0.26
TXN001858,99.01,17.82
TXN001859,3.34,0.6
TXN001860,113.35,20.4
TXN001861,270.04,48.61
TXN001862,471.04,84.79
TXN001863,119.65,21.54
TXN001864,239.2,43.06
TXN001865,240.28,43.25
TXN001866,126.14,22.71
TXN001867,128.72,23.17
TXN001868,215.88,38.86
TXN001869,99.24,17.86
TXN001870,390.52,70.29
TXN001871,310.4,55.87
TXN001872,116.39,20.95
TXN001873,240.95,43.37
TXN001874,302.85,54.51
TXN001875,71.52,12.87
TXN001876,88.48,15.93
TXN001877,94.59,17.03
TXN001878,319.61,57.53
TXN001879,92.27,16.61
TXN001880,199.56,35.92
TXN001881,298.86,53.79
TXN001882,122.85,22.11
TXN001883,26.85,4.83
TXN001884,22.77,4.1
TXN001885,57.42,10.34
TXN001886,220.96,39.77
TXN001887,115.38,20.77
TXN001888,426.12,76.7
TXN001889,260.69,46.92
TXN001890,277.45,49.94
TXN001891,233.9,42.1
TXN001892,57.68,10.38
TXN001893,431.68,77.7
TXN001894,60.29,10.85
TXN001895,161.54,29.08
TXN001896,301.53,54.28
TXN001897,87.81,15.81
TXN001898,11.11,2.0
TXN001899,215.97,38.87
TXN001900,8.03,1.45
TXN001901,420.7,75.73
TXN001902,48.58,8.74
TXN001903,143.46,25.82
TXN001904,341.22,61.42
TXN001905,35.05,6.31
TXN001906,42.47,7.64
TXN001907,39.54,7.12
TXN001908,330.06,59.41
TXN001909,199.61,35.93
TXN001910,255.22,45.94
TXN001911,185.68,33.42
TXN001912,371.91,66.94
TXN001913,349.48,62.91
TXN001914,115.37,20.77
TXN001915,92.93,16.73
TXN001916,106.75,19.21
TXN001917,84.45,15.2
TXN001918,195.06,35.11
TXN001919,160.75,28.93
TXN001920,288.09,51.86
TXN001921,508.03,91.45
TXN001922,230.25,41.45
TXN001923,205.87,37.06
TXN001924,471.83,84.93
TXN001925,217.49,39.15
TXN001926,49.32,8.88
TXN001927,181.67,32.7
TXN001928,35.18,6.33
TXN001929,27.8,5.0
TXN001930,410.46,73.88
TXN001931,228.52,41.13
TXN001932,351.86,63.33
TXN001933,220.03,39.61
TXN001934,120.15,21.63
TXN001935,246.75,44.41
TXN001936,259.43,46.7
TXN001937,265.52,47.79
TXN001938,403.99,72.72
TXN001939,326.22,58.72
TXN001940,206.51,37.17
TXN001941,135.85,24.45
TXN001942,421.94,75.95
TXN001943,382.2,68.8
TXN001944,342.35,61.62
TXN001945,116.91,21.04
TXN001946,141.96,25.55
TXN001947,172.35,31.02
TXN001948,209.49,37.71
TXN001949,324.7,58.45
TXN001950,349.99,63.0
TXN001951,71.51,12.87
TXN001952,245.68,44.22
TXN001953,76.38,13.75
TXN001954,235.48,42.39
TXN001955,608.45,109.52
TXN001956,205.72,37.03
TXN001957,501.56,90.28
TXN001958,90.64,16.32
TXN001959,197.97,35.63
TXN001960,190.48,34.29
TXN001961,584.66,105.24
TXN001962,455.57,82.0
TXN001963,171.06,30.79
TXN001964,81.32,14.64
TXN001965,420.76,75.74
TXN001966,341.28,61.43
TXN001967,155.02,27.9
TXN001968,27.07,4.87
TXN001969,96.8,17.42
TXN001970,349.82,62.97
TXN001971,103.58,18.64
TXN001972,181.25,32.62
TXN001973,449.94,80.99
TXN001974,456.05,82.09
TXN001975,234.24,42.16
TXN001976,467.23,84.1
TXN001977,200.25,36.05
TXN001978,208.26,37.49
TXN001979,329.08,59.23
TXN001980,468.49,84.33
TXN001981,460.87,82.96
TXN001982,221.03,39.79
TXN001983,275.79,49.64
TXN001984,23.87,4.3
TXN001985,177.89,32.02
TXN001986,120.7,21.73
TXN001987,79.37,14.29
TXN001988,290.6,52.31
TXN001989,288.23,51.88
TXN001990,244.03,43.93
TXN001991,66.96,12.05
TXN001992,207.24,37.3
TXN001993,320.09,57.62
TXN001994,171.87,30.94
TXN001995,351.85,63.33
